GyroX,GyroY,GyroZ,Thumb,Index,Middle,Ring,Pinky,Gesture
0,0,0,20236,24223,23022,23964,27636,0
0,0,0,20535,24081,22977,23964,27609,0
0,0,0,20515,24129,23022,23964,27554,0
0,0,0,20495,24105,22955,23870,27499,0
0,0,0,20335,24058,22977,23894,27418,0
0,0,0,20256,24034,22932,23870,27364,0
0,0,0,20216,23987,22887,23870,27364,0
0,0,0,20176,24011,22887,23847,27256,0
0,0,0,20157,23940,22820,23847,27364,0
0,0,0,20078,23870,22665,23824,27445,0
0,0,0,19999,23777,22554,23777,27391,0
0,0,0,19941,23684,22488,23777,27581,0
0,0,0,19941,23707,22554,23777,27581,0
0,0,0,19999,23661,22554,23754,27472,0
0,0,0,19941,23684,22532,23754,27391,0
0,0,0,19921,23661,22510,23754,27418,0
0,0,0,19921,23661,22423,23730,27445,0
0,0,0,19902,23638,22423,23730,27472,0
0,0,0,19882,23638,22423,23707,27418,0
0,0,0,19921,23661,22401,23684,27364,0
0,0,0,19902,23592,22401,23661,27283,0
0,0,0,19882,23569,22423,23684,27310,0
0,0,0,19843,23615,22401,23661,27283,0
0,0,0,19824,23569,22401,23661,27310,0
0,0,0,19766,23477,22292,23824,27391,0
0,0,0,19805,23477,22140,23800,27472,0
0,0,0,19805,23431,22313,23684,27364,0
0,0,0,19843,23499,22488,23499,27283,0
0,0,0,19785,23431,22423,23431,27175,0
0,0,0,19785,23339,22248,23477,27148,0
0,0,0,19785,23339,22205,23431,27148,0
0,0,0,19766,23294,22183,23477,27095,0
0,0,0,19785,23316,22205,23339,27068,0
0,0,0,19805,23316,22270,23294,27068,0
0,0,0,19863,23385,22423,23294,27068,0
0,0,0,19863,23385,22401,23294,27041,0
0,0,0,19882,23316,22357,23339,26988,0
0,0,0,19863,23294,22292,23362,26988,0
0,0,0,19785,23248,22226,23316,26935,0
0,0,0,19766,23225,22075,23362,27041,0
0,0,0,19766,23203,22053,23339,26961,0
0,0,0,19766,23225,22075,23385,27068,0
0,0,0,19785,23203,22010,23339,27041,0
0,0,0,19746,23203,22053,23294,27015,0
0,0,0,19631,23135,21967,23477,26961,0
