GyroX,GyroY,GyroZ,Thumb,Index,Middle,Ring,Pinky,Gesture
0,0,0,18489,24176,32173,28133,28840,0
0,0,0,17495,24081,32108,28161,28869,0
0,0,0,19458,24247,31978,28049,28754,0
0,0,0,20395,24318,31946,28022,28754,0
0,0,0,20676,24223,31849,27939,28754,0
0,0,0,21542,24129,31752,27966,28726,0
0,0,0,22335,24034,31624,27939,28640,0
0,0,0,21479,23940,31720,27939,28583,0
0,0,0,20157,23894,31720,28022,28669,0
0,0,0,20078,23940,31656,27966,28583,0
0,0,0,20019,23987,31593,27911,28583,0
0,0,0,20236,24034,31529,27939,28612,0
0,0,0,20176,24034,31593,27883,28527,0
0,0,0,20595,23940,31497,27856,28527,0
0,0,0,21312,23800,31465,27856,28527,0
0,0,0,21043,23777,31465,27856,28470,0
0,0,0,20415,23800,31465,27911,28583,0
0,0,0,20495,23754,31497,27773,28527,0
0,0,0,21043,23940,31402,27800,28555,0
0,0,0,21125,23940,31497,27800,28414,0
0,0,0,22687,23800,31402,27800,28385,0
0,0,0,23044,23754,31339,27800,28385,0
0,0,0,21125,23754,31276,27800,28470,0
0,0,0,19882,23707,31370,27773,28470,0
0,0,0,20275,23707,31370,27856,28612,0
0,0,0,20176,23684,31370,27911,28955,0
0,0,0,20275,23661,31370,27966,29187,0
0,0,0,20256,23661,31434,27994,29304,0
0,0,0,20256,23661,31465,28133,29421,0
0,0,0,21022,23847,31624,27994,29071,0
0,0,0,21375,24223,31881,27911,28840,0
0,0,0,21606,24462,31978,27800,28612,0
0,0,0,21989,24630,32140,27636,28470,0
0,0,0,22096,24606,32500,27636,28470,0
0,0,0,21796,24342,32238,27800,28470,0
0,0,0,21187,24176,32108,27856,28783,0
0,0,0,20879,24058,32010,28077,29245,0
0,0,0,20636,24034,32010,28357,29568,0
0,0,0,20879,23964,31978,28301,29274,0
0,0,0,21208,23847,31849,28245,29071,0
0,0,0,19999,23730,31817,28077,29071,0
0,0,0,20515,23569,31688,28077,28984,0
0,0,0,22665,23499,31529,27966,28783,0
0,0,0,23157,23569,31402,27800,28640,0
0,0,0,22754,23569,31402,27773,28583,0
0,0,0,22401,23569,31402,27745,28612,0
0,0,0,21733,23569,31276,27718,28498,0
0,0,0,19458,23638,31370,27745,28612,0
0,0,0,18308,23638,31339,27745,28640,0
0,0,0,18164,23707,31370,27800,28640,0
0,0,0,18022,23847,31370,27800,29274,0
0,0,0,18200,23870,31339,27800,29274,0
0,0,0,21479,23777,31276,27691,28984,0
0,0,0,23499,23707,31150,27636,29013,0
0,0,0,24510,23522,31213,27718,29071,0
0,0,0,24510,23431,31213,27800,29158,0
0,0,0,24848,23431,31056,27609,28840,0
0,0,0,23615,23661,31276,27663,28498,0
0,0,0,23022,23684,31307,27636,28640,0
0,0,0,22977,23894,31656,27636,28754,0
0,0,0,23431,24129,31720,27499,28385,0
0,0,0,22932,23940,31752,27636,28612,0
0,0,0,22887,24129,31849,27527,28498,0
0,0,0,23135,24342,31978,27364,28245,0
0,0,0,22932,24152,31849,27418,28329,0
0,0,0,22532,23870,31720,28105,28955,0
0,0,0,22357,23707,31624,28470,29479,0
0,0,0,22183,23661,31624,28612,29509,0
0,0,0,22248,23847,31720,28217,29071,0
0,0,0,22709,24152,31817,27718,28583,0
0,0,0,22510,24034,31720,27581,28555,0
0,0,0,23339,23870,31497,27609,28697,0
0,0,0,20315,23847,31465,27636,28612,0
0,0,0,19401,23824,31370,27663,28527,0
0,0,0,19155,23800,31339,27581,28442,0
0,0,0,23225,23661,31087,27472,28301,0
0,0,0,24702,23499,30994,27472,28301,0
0,0,0,24034,23431,31025,27418,28273,0
0,0,0,23157,23431,30900,27391,28161,0
0,0,0,22292,23431,30900,27391,28245,0
0,0,0,21043,23271,30931,27445,28555,0
0,0,0,18489,23225,30962,27691,28612,0
0,0,0,20256,23477,31213,27636,28527,0
0,0,0,20395,23615,31339,27691,28301,0
0,0,0,19535,23477,31025,27554,28217,0
0,0,0,20157,23271,30745,27554,28273,0
0,0,0,20676,23180,30745,27499,28301,0
0,0,0,20555,23203,30745,27472,28133,0
0,0,0,20737,23203,30715,27472,28245,0
0,0,0,20656,23271,30653,27445,28133,0
0,0,0,20555,23316,30807,27445,28161,0
0,0,0,20818,23477,31025,27391,27939,0
0,0,0,21395,24011,31593,27364,27939,0
0,0,0,21733,24081,31593,27256,27856,0
0,0,0,21229,23661,31244,27472,28555,0
0,0,0,21002,23546,31150,27445,28754,0
0,0,0,20940,23499,31056,27527,28984,0
0,0,0,21458,23615,31402,27609,28754,0
0,0,0,21989,23777,31307,27554,28726,0
