GyroX,GyroY,GyroZ,Thumb,Index,Middle,Ring,Pinky,Gesture
0,0,0,23707,20716,11096,11280,11292,1
0,0,0,23684,20716,11109,11280,11317,1
0,0,0,23661,20737,11109,11280,11268,1
0,0,0,23684,20716,11121,11292,11280,1
0,0,0,23684,20696,11109,11304,11268,1
0,0,0,23684,20716,11133,11280,11292,1
0,0,0,23707,20737,11121,11304,11280,1
0,0,0,24152,20961,11133,11304,11304,1
0,0,0,24247,21043,11157,11304,11304,1
0,0,0,24271,21105,11157,11304,11317,1
0,0,0,24534,21229,11157,11317,11280,1
0,0,0,25019,21584,11157,11317,11304,1
0,0,0,25167,21733,11157,11317,11304,1
0,0,0,25291,21796,11170,11317,11292,1
0,0,0,25515,21903,11170,11329,11317,1
0,0,0,25641,21967,11206,11317,11292,1
0,0,0,25691,21989,11206,11317,11304,1
0,0,0,25591,21967,11206,11317,11304,1
0,0,0,25415,21967,11206,11304,11317,1
0,0,0,25341,21924,11206,11329,11304,1
0,0,0,25266,21903,11317,11354,11304,1
0,0,0,25192,21882,11317,11341,11304,1
0,0,0,25142,21903,11341,11366,11354,1
0,0,0,25093,21882,11379,11453,11391,1
0,0,0,25044,21882,11453,11515,11453,1
0,0,0,24921,21882,11628,11754,11653,1
0,0,0,24799,21967,12009,12202,11804,1
0,0,0,24751,22053,12293,12372,11868,1
0,0,0,24606,22053,12477,12398,11881,1
0,0,0,24534,21989,12743,12385,11855,1
0,0,0,24510,21989,12851,12398,11842,1
0,0,0,24486,21989,13027,12424,11855,1
0,0,0,24462,22053,13136,12451,11855,1
0,0,0,24510,21989,13287,12464,11842,1
0,0,0,24414,21967,13343,12464,11830,1
0,0,0,24438,21924,13622,12477,11855,1
0,0,0,24438,21903,13835,12504,11855,1
0,0,0,24414,21882,13921,12504,11881,1
0,0,0,24510,21903,13921,12504,11855,1
0,0,0,24486,21967,13921,12504,11868,1
0,0,0,24414,21989,13992,12490,11868,1
0,0,0,24606,22118,14399,12530,11855,1
0,0,0,25691,22754,15615,12530,11855,1
0,0,0,26409,22932,16898,12583,11855,1
0,0,0,26829,23112,16748,12596,11881,1
0,0,0,26855,23225,16303,12556,11855,1
0,0,0,26461,23294,15789,12530,11804,1
0,0,0,26461,23180,15710,12504,11855,1
0,0,0,26513,22977,15647,12490,11830,1
0,0,0,26723,22687,15459,12477,11804,1
0,0,0,26961,22488,15227,12477,11855,1
0,0,0,27554,22357,14967,12477,11881,1
0,0,0,27856,22140,14786,12504,11881,1
0,0,0,28161,22075,14681,12517,11906,1
0,0,0,28726,22075,14651,12530,11970,1
0,0,0,29746,22161,14681,12570,12073,1
0,0,0,30226,22183,14666,12610,12124,1
0,0,0,30286,22053,14621,12636,12137,1
0,0,0,30776,21818,14681,12636,12150,1
0,0,0,30900,21584,14666,12649,12163,1
0,0,0,30994,21416,14666,12663,12137,1
0,0,0,31119,21312,14666,12703,12124,1
0,0,0,31339,21333,14681,12756,12112,1
0,0,0,31752,21395,14681,12770,12112,1
0,0,0,32271,21416,14726,12810,12073,1
0,0,0,32765,21479,14726,12864,12099,1
0,0,0,32799,21479,14726,12878,12086,1
0,0,0,32832,21458,14681,12878,12060,1
0,0,0,32932,21312,14607,12851,12073,1
0,0,0,32799,21312,14562,12851,12073,1
0,0,0,32599,21479,14547,12851,12060,1
0,0,0,32500,21796,14547,12851,12047,1
0,0,0,32633,22075,14458,12851,12009,1
0,0,0,32402,22226,14444,12851,12009,1
0,0,0,32238,22357,14444,12851,11996,1
0,0,0,31849,22621,14458,12851,11957,1
0,0,0,31402,22843,14488,12851,11970,1
0,0,0,31213,22932,14547,12851,11868,1
0,0,0,30715,23112,14607,12824,11703,1
0,0,0,29538,23067,14607,12703,11665,1
0,0,0,28498,22977,14444,12530,11653,1
0,0,0,28189,22932,14108,12346,11628,1
0,0,0,27800,22887,13622,12112,11590,1
0,0,0,27364,22843,13095,11919,11515,1
0,0,0,26749,22731,12623,11754,11453,1
0,0,0,25818,22576,12372,11653,11416,1
0,0,0,24462,22226,12320,11615,11416,1
0,0,0,23569,21967,12346,11578,11379,1
0,0,0,23499,21903,12346,11578,11354,1
0,0,0,23499,21860,12359,11553,11379,1
0,0,0,23431,21775,12372,11603,11403,1
0,0,0,23248,21500,12783,11779,11440,1
0,0,0,23067,21458,13218,11868,11603,1
0,0,0,22932,21458,13191,11932,11868,1
0,0,0,22754,21500,13136,11957,12320,1
0,0,0,22687,21563,12972,11996,13013,1
0,0,0,22576,21669,12824,11970,13863,1
0,0,0,22576,21711,12649,12034,14151,1
0,0,0,22532,21711,12690,12424,13398,1
0,0,0,22423,21754,12649,12477,12905,1
0,0,0,22357,21711,12690,12663,12438,1
0,0,0,22226,21648,12824,12986,12034,1
0,0,0,22140,21542,13426,13246,12112,1
