GyroX,GyroY,GyroZ,Thumb,Index,Middle,Ring,Pinky,Gesture
13,40,-45,19439,11416,11868,20078,20078,3
13,-52,-48,19497,11503,11906,20117,20078,3
-43,-64,-166,19573,11503,11970,20375,20157,3
312,-212,-97,19785,11416,12009,20078,20176,3
96,-55,-107,19631,11428,11970,20058,20039,3
235,193,204,19477,11453,11944,19921,19999,3
-212,70,60,19458,11465,11932,19401,20019,3
-630,327,-110,19458,11416,11944,19401,20058,3
60,54,23,19554,11403,11906,19420,20098,3
-11,4,-6,19573,11465,11881,19401,20196,3
-51,-15,-23,19554,11403,11932,19458,20098,3
-2,14,-13,19612,11416,11932,19458,20216,3
1,-9,-2,19477,11453,11893,19382,20117,3
-2,8,9,19458,11453,11855,19401,20176,3
17,14,-2,19458,11428,11868,19363,20216,3
20,-7,-24,19573,11453,11919,19401,20117,3
-13,-27,16,19612,11465,11855,19325,20196,3
20,-63,-5,19612,11453,11906,19306,20157,3
400,-260,-63,19960,11366,11932,19458,20256,3
547,-352,-224,19535,11255,11855,22357,22248,3
194,-11,-255,19306,11255,11716,23800,22955,3
872,-420,-355,19287,11231,11716,24414,23294,3
1400,-627,-844,19999,11231,11754,24223,23477,3
1197,-385,-704,19708,11182,11766,24318,23569,3
433,-211,-426,19650,11121,11830,24223,23431,3
93,12,-154,19477,11170,11804,24152,23203,3
24,81,-48,19325,11194,11804,23800,23112,3
-67,72,39,19249,11206,11804,23661,22955,3
-14,37,25,19231,11121,11804,23431,22754,3
-86,23,34,19344,11133,11804,23339,22820,3
-81,27,72,19268,11206,11804,23431,22776,3
-98,39,70,19382,11170,11716,23203,22576,3
-33,-3,31,19458,11170,11754,23271,22709,3
-109,44,88,19535,11206,11716,23294,22576,3
-54,15,62,19477,11145,11804,23248,22576,3
-30,8,35,19612,11157,11716,23157,22510,3
-2,7,-3,19554,11157,11804,23135,22599,3
-15,2,6,19477,11121,11766,23112,22488,3
-18,0,16,19535,11133,11716,22865,22599,3
-25,8,22,19612,11206,11754,22999,22423,3
-514,86,404,19554,11157,11754,22843,22423,3
-738,644,437,19689,11182,11792,22776,22488,3
-194,183,292,19612,11133,11716,22843,22335,3
-790,518,499,19612,11219,11703,22843,22357,3
-898,436,480,19669,11206,11728,22754,22248,3
-304,174,154,19689,11182,11703,22754,22270,3
82,-9,9,19535,11133,11703,22665,22140,3
-51,92,18,19420,11219,11779,22488,22140,3
13,9,-7,19401,11206,11817,22599,22226,3
30,27,-68,19420,11194,11804,22444,22226,3
39,9,-40,19458,11194,11779,22488,22161,3
-43,-9,32,19458,11170,11779,22554,22183,3
2,-1,-32,19420,11157,11754,22401,22053,3
9,-24,-13,19669,11194,11703,22444,21946,3
3,-2,-16,19458,11206,11804,22488,22075,3
0,-3,10,19766,11182,11728,22379,21967,3
-10,-9,14,19439,11170,11792,22357,22075,3
3,-15,-10,19650,11206,11716,22488,21989,3
17,3,-9,19631,11170,11716,22335,21903,3
15,2,-26,19477,11206,11728,22313,22096,3
34,-34,-8,19689,11206,11779,22313,21989,3
159,-18,-43,19785,11206,11754,22488,21989,3
527,-373,-159,19344,11170,11716,22599,22183,3
3094,-1049,-1576,19306,11206,11665,23044,22401,3
2042,-588,-1172,19535,11157,11703,23638,22999,3
1067,-28,-539,19689,11157,11653,23707,23067,3
336,-80,-134,19863,11170,11754,23499,22932,3
947,-43,-754,20656,11170,11716,23454,22932,3
1673,-3,-1279,22401,11170,11779,23499,22932,3
797,152,-422,22576,11219,11703,23615,22932,3
327,13,-343,24223,11157,11779,23592,23022,3
525,-102,-261,24034,11157,11804,23477,22887,3
1180,-3,-466,24438,11157,11754,23522,22977,3
1091,187,-390,23499,11206,11906,23522,22820,3
447,-100,-219,23385,11206,11932,23546,22955,3
-384,24,163,23431,11206,11906,23339,22843,3
-808,-140,160,24223,11182,12060,23431,22665,3
546,-64,-159,25742,11182,12215,23294,22843,3
37,65,120,26618,11157,12241,23408,23067,3
-39,-7,-38,26305,11206,12543,23499,23022,3
-6,-36,42,27745,11182,12398,23431,23044,3
123,-25,66,28697,11157,12320,23477,22999,3
81,-56,29,27745,11157,12254,23522,22865,3
16,6,28,27068,11206,12293,23499,22887,3
-52,23,17,26539,11145,12228,23477,22843,3
-8,-36,44,26331,11206,12267,23294,22932,3
160,-150,6,26073,11170,12124,23477,22754,3
88,-23,-9,25717,11255,11881,23271,22731,3
193,30,-40,25515,11280,11754,23112,22709,3
-130,-62,31,25291,11304,11665,23022,22488,3
-828,-192,239,25767,11255,11728,23112,22488,3
-3936,-193,1836,28812,11206,11716,23362,22887,3
1953,-144,682,31529,11317,12124,23684,23022,3
88,-118,-225,31087,11268,12150,23499,22843,3
108,134,-242,30469,11255,12215,23499,22665,3
1372,-167,-414,30256,11280,12124,23454,22709,3
3200,-132,-1516,29042,11206,12009,23499,22843,3
3140,-5,-1104,27499,11231,12009,23477,22932,3
268,209,-134,26723,11194,11919,23339,22776,3
-1282,336,654,26776,11255,11932,23112,22709,3
-1975,28,332,27364,11255,11868,23135,22709,3
-552,-43,169,27472,11182,11957,23203,22643,3
-167,58,63,27527,11231,11932,23180,22599,3
-128,89,0,27472,11206,11881,23135,22599,3
41,136,-104,27966,11268,12060,23294,22865,3
-337,21,137,28301,11268,12189,23203,22754,3
91,-189,-60,27994,11304,12176,23044,22488,3
39,-123,-128,26935,11206,12189,23044,22665,3
19,-7,-51,26487,11206,12073,23157,22510,3
-93,55,-30,25996,11219,12112,23022,22532,3
-15,30,-27,26047,11206,12073,23022,22488,3
-22,-17,42,25869,11219,12112,23112,22488,3
160,-10,-26,25894,11182,11754,22977,22488,3
83,23,-10,25843,11255,11615,22843,22576,3
111,37,-29,25894,11219,11578,22798,22423,3
65,37,3,25869,11268,11490,22709,22270,3
-73,-39,92,25793,11341,11503,22687,22226,3
-121,-37,41,25641,11304,11503,22621,22226,3
-89,9,7,25616,11231,11503,22754,22183,3
45,-11,9,25742,11206,11478,22820,22205,3
219,-110,56,25691,11268,11490,22820,22313,3
200,-88,164,25691,11268,11540,22932,22313,3
-16,-39,-3,25616,11255,11578,22932,22292,3
-81,32,-13,25641,11243,11540,22776,22488,3
18,22,0,25920,11231,11628,23044,22599,3
106,-74,5,25869,11255,11578,23090,22444,3
-9,-77,31,25793,11255,11565,23090,22576,3
190,-64,-24,25945,11231,11640,22977,22488,3
180,-91,-71,25818,11255,11665,22932,22532,3
-202,5,139,25793,11219,11678,23067,22444,3
-44,-16,30,25843,11268,11628,23022,22401,3
25,55,-48,25742,11206,11640,22932,22313,3
0,-33,14,25666,11255,11665,22887,22357,3
-107,5,51,25666,11170,11665,22955,22357,3
-222,3,-21,25616,11231,11590,22843,22423,3
-30,-22,115,25591,11206,11653,22798,22379,3
-9,34,26,25691,11255,11640,22865,22313,3
9,-69,-5,25742,11206,11615,22865,22292,3
-408,-2,227,25971,11231,11578,22754,22313,3
-631,110,302,26305,11170,11603,22776,22335,3
35,-152,-38,26176,11170,11603,22776,22248,3
411,-122,-146,26124,11170,11703,22687,22357,3
248,-51,-61,26124,11219,11628,22776,22226,3
10,38,-81,26099,11219,11665,22910,22183,3
-119,21,105,25894,11182,11665,22731,22183,3
30,51,52,25894,11255,11628,22865,22270,3
-428,-132,-84,25894,11206,11653,22709,22183,3
-416,36,-69,25843,11182,11653,22843,22226,3
-208,33,69,26022,11182,11628,22621,22183,3
-107,4,53,25996,11219,11653,22621,22226,3
-16,-1,45,25894,11206,11653,22665,22161,3
-130,2,80,26124,11170,11653,22687,22118,3
-280,-3,251,26124,11243,11603,22621,22226,3
-46,39,83,26253,11170,11615,22599,22183,3
40,29,-26,26331,11231,11691,22731,22226,3
139,2,-146,26644,11170,11754,22820,22423,3
141,23,-142,27418,11219,11868,22910,22270,3
85,30,-131,28301,11170,11906,22932,22401,3
111,74,-143,28414,11157,11919,22910,22313,3
515,156,-430,27994,11231,12163,22820,22423,3
681,165,-278,28470,11255,12385,22865,22955,3
754,106,-409,29071,11255,12306,22820,23044,3
596,81,-294,29187,11206,12124,22932,22999,3
256,295,-206,28612,11182,12176,22798,23022,3
134,192,-177,27911,11170,12124,22776,22977,3
163,267,-184,27609,11255,12086,22754,22910,3
-198,-181,35,27283,11243,13246,21711,22488,3
-268,-135,129,26723,11243,14562,21690,22357,3
-440,-41,52,25971,11280,19477,21500,27148,3
-184,-71,14,24995,11255,23431,24630,28869,3
-90,-85,44,24129,11317,25793,27202,30015,3
232,176,-7,23707,11354,28527,30015,29746,3
149,106,-45,23339,11292,30962,32566,29013,3
204,125,138,23431,11304,31817,32238,29216,3
166,44,132,23225,11329,31087,31339,30015,3
-81,77,101,23248,11391,30499,30745,29391,3
107,-103,13,23431,11416,28612,29686,29274,3
26,-69,-28,23431,11453,26723,28527,29158,3
152,-87,-20,23477,11478,25044,27911,29216,3
37,211,-39,23707,11528,20879,27122,29450,3
-204,233,-217,24176,11453,14385,25996,29071,3
304,217,-274,23940,11304,11957,25616,28640,3
156,79,-74,23940,11268,11528,25540,28612,3
-165,9,-64,23800,11268,11453,25390,28583,3
-355,-125,46,23499,11255,11428,25390,28583,3
91,25,118,23499,11268,11453,25341,28357,3
300,-439,122,23431,11206,11465,25365,28583,3
257,-18,-33,23316,11206,11553,25365,28726,3
152,208,-126,23316,11255,11528,25365,28783,3
218,143,-195,23499,11231,11590,25118,28869,3
136,362,-254,23592,11255,11578,25291,28869,3
-115,327,-206,23754,11292,11653,25291,28869,3
-328,111,-73,23684,11317,11754,26253,28812,3
-28,129,8,23615,11268,11817,27472,29071,3
23,95,75,23661,11329,11804,29509,29245,3
-30,18,7,23522,11329,12112,32369,29391,3
-177,-57,-2,22932,11304,12556,34696,29568,3
-31,-81,15,22313,11304,12716,37543,29421,3
-416,-87,126,22096,11379,13095,40605,30591,3
-516,-175,124,21711,11416,13246,40955,31339,3
29,-156,126,21627,11416,13122,39202,30015,3
-68,-120,74,21458,11366,13068,35236,28133,3
-216,-98,34,21458,11366,13027,26331,25266,3
-88,4,-2,21521,11354,13013,25793,24946,3
10,110,-39,21270,11366,13027,25641,24970,3
21,60,-2,20737,11379,12972,25591,24946,3
-16,74,-75,18691,11329,12851,25216,24702,3
-11,5,-23,18344,11317,12783,25192,24654,3
-120,40,-20,17986,11379,12797,24946,24510,3
-20,7,-22,17495,11304,12743,24654,24271,3
-88,76,-56,17220,11354,12810,24582,24390,3
-89,-24,-9,17016,11354,12783,24510,24176,3
51,15,-36,16882,11304,12756,24606,24247,3
37,-4,0,16798,11268,12797,24510,24223,3
0,27,-13,16781,11280,12756,24414,24223,3
-12,-14,13,16831,11304,12770,24462,24129,3
43,5,10,16831,11280,12797,24366,24176,3
-22,-7,38,17237,11255,12716,24510,24081,3
37,-17,12,18057,11317,12797,24390,23940,3
-19,14,-3,18581,11329,12703,24247,23870,3
-15,-4,1,18599,11255,12703,24223,23987,3
-17,6,6,18344,11292,12797,24129,23987,3
-21,15,-9,18272,11304,12756,24081,23987,3
7,3,-8,18164,11317,12703,24058,23894,3
3,-24,8,18254,11268,12743,24129,23870,3
-62,-9,-19,18783,11268,12797,23964,23870,3
-15,0,2,19231,11304,12770,24058,23800,3
47,-9,2,19535,11317,12756,24058,23847,3
-14,-18,26,20117,11280,12783,24034,23707,3
28,-13,26,20777,11268,12797,23847,23707,3
31,-7,4,21395,11317,12716,23964,23800,3
20,45,-35,21989,11354,12743,23847,23754,3
29,18,6,21903,11354,12743,23964,23847,3
53,-14,10,21690,11317,12810,23754,23847,3
37,-10,-28,21967,11366,12797,23964,23661,3
147,-37,-40,21989,11354,12743,23847,23661,3
34,54,-83,21967,11354,12783,24129,23847,3
341,-64,-20,22270,11366,12932,23940,23800,3
-32,167,-190,22248,11317,12918,23730,23847,3
149,-43,13,22118,11304,13081,23707,23661,3
-50,120,-109,22118,11329,13205,23800,23661,3
-206,84,20,22053,11304,13163,23707,23684,3
-82,-46,80,22118,11354,13122,23684,23800,3
7,63,-19,22140,11304,13122,23754,23847,3
-157,19,32,21989,11366,13150,23964,23684,3
13,4,1,21924,11304,13122,23800,23754,3
-93,-66,103,21989,11304,14651,25093,24921,3
-171,-37,139,21967,11329,14282,26357,26566,3
-169,-3,125,21733,11391,13636,27256,28022,3
-127,-82,140,21754,11366,13482,28869,29568,3
-480,-93,270,21796,11403,13454,30684,31339,3
-194,-158,198,21395,11379,12878,32205,32435,3
-173,-171,98,20940,11304,12663,33991,33371,3
-230,-147,189,20961,11317,12583,35418,34235,3
66,47,58,21648,11304,12359,35345,33337,3
132,202,2,21882,11354,12060,34589,32140,3
-92,-12,-67,21711,11255,11970,36010,32140,3
-100,18,-68,21648,11304,11906,34874,31849,3
105,-135,50,21711,11304,11919,34412,31881,3
96,41,-122,21627,11255,11932,33748,31720,3
63,-31,-19,21542,11304,11855,33337,31624,3
-37,-37,3,21563,11255,11728,33405,31244,3
-59,6,-7,21563,11317,11703,33202,31276,3
-37,20,9,21479,11231,11578,31402,31529,3
-123,71,-66,21563,11133,11453,30931,31276,3
-139,109,38,21416,11145,11403,27095,30530,3
-81,-3,30,21270,11072,11317,26882,30530,3
-210,-10,97,21312,11036,11255,26723,30377,3
-291,-33,88,21333,11036,11231,26618,30530,3
-490,19,172,21375,11072,11109,26670,30715,3
-203,-26,60,21416,11060,11072,26566,30469,3
-106,-5,79,21648,10999,11024,26513,30469,3
-83,24,20,21542,10987,11060,26383,30408,3
1,-10,-24,21542,10975,10975,26487,30226,3
-9,-19,15,21563,10927,11121,26435,30469,3
-7,-24,13,21648,10963,10963,26253,30195,3
10,-40,22,21627,10963,11012,26228,30075,3
34,1,-46,21690,10927,11060,26305,30075,3
64,15,-24,21648,10915,11012,26176,30165,3
47,26,-41,21648,10939,11060,26305,30165,3
4,-48,53,21754,10975,10963,26124,29925,3
