GyroX,GyroY,GyroZ,Thumb,Index,Middle,Ring,Pinky,Gesture
-15,18,-1,17634,10049,10783,33168,30256,3
-4,1,5,17582,10049,10903,32932,30165,3
5,5,-10,17565,10071,10891,32866,30045,3
-21,18,5,17547,10071,10891,32765,30045,3
11,-1,-20,17495,10037,10903,32633,30045,3
9,8,-7,17461,10049,10783,32566,30165,3
29,25,-6,17443,10049,10903,32500,30347,3
15,-35,-9,17426,10049,10783,32435,30377,3
8,13,8,17374,10037,10915,32402,30377,3
24,-37,16,17357,10071,10795,32303,30286,3
-16,-19,5,17357,10049,10795,32205,30226,3
7,40,-16,17306,10071,10783,32140,30135,3
80,17,-50,17101,10049,10783,32043,30075,3
34,-21,-19,17050,10060,10795,32010,29895,3
2,18,9,17084,10049,10795,31913,29627,3
-36,-6,-5,17084,10071,10867,31785,29538,3
59,-56,-55,17237,10106,11012,31720,29216,3
-31,7,8,17323,10106,11060,31720,28955,3
19,15,-19,17513,10163,11206,31624,28927,3
83,-5,-62,17652,10140,11268,31593,28812,3
-41,-10,0,17845,10163,11268,31561,28414,3
30,-7,-16,18004,10186,11280,31465,28329,3
-43,-1,7,18004,10163,11268,31307,28245,3
-36,-3,14,17845,10163,11268,31276,28161,3
15,17,8,17774,10163,11255,31244,28133,3
10,21,-19,17722,10163,11255,31087,28022,3
24,52,-29,17669,10140,11243,31087,28022,3
34,17,-7,17617,10163,11206,31087,27911,3
11,70,-32,17565,10140,11231,31025,27828,3
79,68,18,17443,10174,11194,30994,27800,3
-97,-284,165,17513,10163,11182,30900,27856,3
28,43,-75,17426,10129,11121,30900,27800,3
27,179,-65,17306,10140,11170,30838,27691,3
115,319,-96,17152,10117,11109,30807,27691,3
93,231,-39,16949,10117,11170,30838,27581,3
33,32,17,16882,10117,11072,30838,27581,3
66,64,-1,16882,10117,11084,30715,27472,3
22,8,24,16831,10129,11060,30745,27527,3
17,48,-27,16831,10117,11060,30715,27445,3
-72,18,-16,16831,10418,11060,30715,27472,3
-28,61,-9,16831,10117,11060,30684,27391,3
33,65,9,16831,10117,11060,30591,27391,3
-34,-5,-19,16698,10106,11145,30591,27283,3
-18,16,6,16715,10106,11060,30561,27310,3
