GyroX,GyroY,GyroZ,Thumb,Index,Middle,Ring,Pinky,Gesture
0.0,0.0,0.0,17933,11678,10546,11628,38585,4
0.0,0.0,0.0,17915,11653,10546,11615,38503,4
0.0,0.0,0.0,17951,11665,10558,11653,38707,4
0.0,0.0,0.0,17951,11653,10558,11628,38585,4
0.0,0.0,0.0,17933,11665,10546,11628,38666,4
0.0,0.0,0.0,17915,11653,10546,11628,38625,4
0.0,0.0,0.0,17915,11653,10546,11640,38585,4
0.0,0.0,0.0,17898,11653,10546,11628,38544,4
0.0,0.0,0.0,17933,11653,10535,11653,38463,4
0.0,0.0,0.0,17915,11653,10546,11653,38544,4
0.0,0.0,0.0,17898,11703,10546,11653,38503,4
0.0,0.0,0.0,17845,11678,10546,11653,38544,4
0.0,0.0,0.0,17880,11678,10582,11653,38585,4
0.0,0.0,0.0,17915,11653,10582,11703,38585,4
0.0,0.0,0.0,17880,11665,10582,11728,38666,4
0.0,0.0,0.0,17880,11678,10594,11703,38544,4
0.0,0.0,0.0,17845,11703,10594,11716,38544,4
0.0,0.0,0.0,17845,11653,10605,11678,38585,4
0.0,0.0,0.0,17862,11703,10582,11678,38585,4
0.0,0.0,0.0,17809,11665,10605,11703,38503,4
0.0,0.0,0.0,17845,11678,10594,11678,38463,4
0.0,0.0,0.0,17809,11678,10605,11665,38422,4
0.0,0.0,0.0,17845,11703,10582,11665,38503,4
0.0,0.0,0.0,17792,11703,10582,11653,38341,4
0.0,0.0,0.0,17809,11691,10605,11678,38341,4
0.0,0.0,0.0,17792,11678,10594,11703,38382,4
0.0,0.0,0.0,17845,11728,10605,11678,38341,4
0.0,0.0,0.0,17845,11728,10594,11678,38503,4
0.0,0.0,0.0,17774,11728,10594,11703,38260,4
0.0,0.0,0.0,17774,11728,10605,11716,38260,4
0.0,0.0,0.0,17809,11703,10605,11703,38260,4
0.0,0.0,0.0,17774,11716,10605,11703,38341,4
0.0,0.0,0.0,17792,11703,10617,11716,38301,4
0.0,0.0,0.0,17809,11716,10605,11703,38180,4
0.0,0.0,0.0,17774,11716,10605,11703,38341,4
0.0,0.0,0.0,17774,11728,10594,11703,38220,4
0.0,0.0,0.0,17739,11703,10594,11703,38260,4
0.0,0.0,0.0,17757,11779,10605,11703,38180,4
0.0,0.0,0.0,17774,11703,10605,11716,38301,4
0.0,0.0,0.0,17757,11754,10605,11716,38180,4
0.0,0.0,0.0,17722,11728,10594,11716,38220,4
0.0,0.0,0.0,17774,11754,10594,11703,38260,4
0.0,0.0,0.0,17757,11754,10605,11703,38260,4
0.0,0.0,0.0,17739,11754,10605,11716,38140,4
0.0,0.0,0.0,17774,11754,10605,11703,38260,4
0.0,0.0,0.0,17792,11779,10594,11728,38260,4
0.0,0.0,0.0,17722,11754,10605,11728,38260,4
0.0,0.0,0.0,17774,11754,10617,11703,38220,4
0.0,0.0,0.0,17722,11754,10605,11728,38220,4
0.0,0.0,0.0,17774,11766,10605,11728,38341,4
0.0,0.0,0.0,17739,11779,10605,11728,38220,4
0.0,0.0,0.0,17722,11754,10605,11703,38220,4
0.0,0.0,0.0,17739,11754,10605,11728,38180,4
0.0,0.0,0.0,17739,11766,10629,11728,38220,4
0.0,0.0,0.0,17704,11766,10605,11754,38260,4
0.0,0.0,0.0,17739,11766,10629,11716,38220,4
0.0,0.0,0.0,17704,11766,10629,11728,38180,4
0.0,0.0,0.0,17687,11754,10629,11716,38180,4
0.0,0.0,0.0,17704,11766,10629,11754,38260,4
0.0,0.0,0.0,17704,11766,10617,11728,38140,4
0.0,0.0,0.0,17704,11766,10629,11728,38140,4
0.0,0.0,0.0,17722,11754,10605,11728,38260,4
0.0,0.0,0.0,17739,11754,10617,11741,38180,4
0.0,0.0,0.0,17669,11779,10629,11754,38180,4
0.0,0.0,0.0,17704,11766,10605,11728,38140,4
0.0,0.0,0.0,17739,11792,10594,11754,38180,4
0.0,0.0,0.0,17669,11804,10605,11754,38180,4
0.0,0.0,0.0,17669,11804,10629,11754,38180,4
0.0,0.0,0.0,17669,11779,10629,11754,38260,4
0.0,0.0,0.0,17687,11804,10617,11754,38180,4
0.0,0.0,0.0,17669,11779,10582,11754,38140,4
0.0,0.0,0.0,17669,11804,10629,11754,38180,4
0.0,0.0,0.0,17669,11804,10629,11754,38180,4
0.0,0.0,0.0,17669,11792,10629,11728,38100,4
0.0,0.0,0.0,17669,11830,10629,11779,38059,4
0.0,0.0,0.0,17704,11855,10629,11741,38140,4
0.0,0.0,0.0,17669,11804,10617,11754,38180,4
0.0,0.0,0.0,17704,11817,10629,11766,38100,4
0.0,0.0,0.0,17704,11766,10629,11728,38059,4
0.0,0.0,0.0,17669,11817,10629,11754,38059,4
0.0,0.0,0.0,17704,11804,10629,11766,38140,4
0.0,0.0,0.0,17669,11817,10629,11779,38100,4
0.0,0.0,0.0,17704,11804,10676,11754,38019,4
0.0,0.0,0.0,17704,11804,10676,11754,37940,4
0.0,0.0,0.0,17722,11804,10653,11766,38180,4
0.0,0.0,0.0,17704,11804,10676,11754,38019,4
0.0,0.0,0.0,17687,11804,10676,11754,38100,4
0.0,0.0,0.0,17704,11817,10676,11754,38059,4
0.0,0.0,0.0,17704,11817,10676,11766,38140,4
0.0,0.0,0.0,17669,11817,10653,11754,38019,4
0.0,0.0,0.0,17704,11842,10653,11766,38059,4
0.0,0.0,0.0,17739,11817,10676,11754,38019,4
0.0,0.0,0.0,17704,11804,10653,11754,38100,4
0.0,0.0,0.0,17669,11830,10653,11754,38100,4
0.0,0.0,0.0,17704,11817,10676,11728,38019,4
0.0,0.0,0.0,17634,11817,10664,11754,37980,4
0.0,0.0,0.0,17704,11855,10676,11754,37980,4
0.0,0.0,0.0,17704,11881,10653,11728,38100,4
0.0,0.0,0.0,17704,11868,10664,11754,38100,4
0.0,0.0,0.0,17704,11906,10664,11754,38100,4
0.0,0.0,0.0,17652,11881,10653,11754,38100,4
0.0,0.0,0.0,17652,11881,10653,11754,38100,4
0.0,0.0,0.0,17669,11881,10653,11754,38019,4
0.0,0.0,0.0,17652,11881,10653,11779,38019,4
0.0,0.0,0.0,17634,11906,10641,11754,38019,4
0.0,0.0,0.0,17687,11906,10653,11754,38100,4
0.0,0.0,0.0,17687,11906,10653,11754,38059,4
0.0,0.0,0.0,17704,11906,10676,11741,37940,4
0.0,0.0,0.0,17704,11906,10676,11766,38100,4
0.0,0.0,0.0,17634,11906,10653,11754,37940,4
0.0,0.0,0.0,17634,11919,10653,11728,38019,4
0.0,0.0,0.0,17634,11919,10676,11779,38019,4
0.0,0.0,0.0,17634,11919,10641,11741,38019,4
0.0,0.0,0.0,17652,11932,10653,11766,38100,4
0.0,0.0,0.0,17652,11932,10676,11766,38019,4
0.0,0.0,0.0,17652,11932,10676,11754,37940,4
0.0,0.0,0.0,17687,11957,10653,11779,38019,4
0.0,0.0,0.0,17669,11932,10653,11754,38019,4
0.0,0.0,0.0,17704,11906,10676,11779,38059,4
0.0,0.0,0.0,17652,11932,10664,11766,38059,4
0.0,0.0,0.0,17704,11957,10676,11779,38059,4
0.0,0.0,0.0,17704,11932,10676,11766,38059,4
0.0,0.0,0.0,17669,11957,10676,11766,38019,4
0.0,0.0,0.0,17634,11957,10676,11779,38100,4
0.0,0.0,0.0,17652,11957,10676,11779,38019,4
0.0,0.0,0.0,17634,11970,10664,11766,38019,4
0.0,0.0,0.0,17669,11970,10653,11766,37980,4
0.0,0.0,0.0,17669,12021,10676,11766,37940,4
0.0,0.0,0.0,17634,11983,10676,11779,37980,4
0.0,0.0,0.0,17669,11957,10676,11766,38019,4
0.0,0.0,0.0,17652,11983,10653,11804,38019,4
0.0,0.0,0.0,17669,11957,10664,11766,38059,4
0.0,0.0,0.0,17652,11957,10676,11804,37940,4
0.0,0.0,0.0,17652,11957,10676,11754,37940,4
0.0,0.0,0.0,17669,11970,10653,11779,38019,4
0.0,0.0,0.0,17669,11983,10676,11779,37980,4
0.0,0.0,0.0,17634,11957,10676,11804,38019,4
0.0,0.0,0.0,17669,11996,10688,11766,37940,4
0.0,0.0,0.0,17634,11957,10688,11779,37980,4
0.0,0.0,0.0,17634,11932,10676,11779,37860,4
0.0,0.0,0.0,17634,11957,10676,11804,37900,4
0.0,0.0,0.0,17634,11932,10688,11817,38019,4
0.0,0.0,0.0,17634,11957,10700,11804,37860,4
0.0,0.0,0.0,17652,11957,10700,11817,37940,4
0.0,0.0,0.0,17652,11970,10700,11804,38019,4
0.0,0.0,0.0,17634,12009,10724,11855,37980,4
0.0,0.0,0.0,17669,12021,10724,11868,37940,4
0.0,0.0,0.0,17634,12021,10724,11855,37940,4
0.0,0.0,0.0,17634,12034,10724,11906,37900,4
0.0,0.0,0.0,17634,11983,10724,11855,37860,4
0.0,0.0,0.0,17652,12009,10748,11855,37940,4
0.0,0.0,0.0,17669,12021,10724,11868,37860,4
0.0,0.0,0.0,17669,12021,10724,11855,37940,4
0.0,0.0,0.0,17634,12034,10724,11881,37781,4
0.0,0.0,0.0,17634,12009,10748,11855,37860,4
0.0,0.0,0.0,17634,12021,10748,11868,37860,4
0.0,0.0,0.0,17600,12009,10724,11868,37781,4
0.0,0.0,0.0,17634,12009,10724,11919,37900,4
0.0,0.0,0.0,17634,11983,10748,11906,37940,4
0.0,0.0,0.0,17600,12009,10748,11906,37781,4
0.0,0.0,0.0,17582,12009,10736,11881,37781,4
0.0,0.0,0.0,17600,12021,10748,11881,37860,4
0.0,0.0,0.0,17634,12009,10748,11906,37900,4
0.0,0.0,0.0,17600,11983,10748,11906,37781,4
0.0,0.0,0.0,17634,12009,10724,11906,37781,4
0.0,0.0,0.0,17600,12009,10748,11881,37781,4
0.0,0.0,0.0,17600,11996,10748,11906,37860,4
0.0,0.0,0.0,17600,11983,10748,11881,37781,4
0.0,0.0,0.0,17634,12009,10748,11881,37741,4
0.0,0.0,0.0,17634,11970,10748,11906,37781,4
0.0,0.0,0.0,17634,12009,10724,11906,37781,4
0.0,0.0,0.0,17634,11996,10748,11855,37940,4
0.0,0.0,0.0,17600,12009,10748,11893,37940,4
0.0,0.0,0.0,17600,12009,10748,11881,37860,4
0.0,0.0,0.0,17634,11983,10748,11906,37860,4
0.0,0.0,0.0,17600,12009,10771,11881,37820,4
0.0,0.0,0.0,17600,11983,10748,11906,37860,4
0.0,0.0,0.0,17634,12009,10748,11881,37860,4
0.0,0.0,0.0,17582,11996,10748,11868,37701,4
0.0,0.0,0.0,17565,12009,10748,11868,37741,4
0.0,0.0,0.0,17634,12009,10748,11893,37741,4
0.0,0.0,0.0,17617,12021,10748,11855,37781,4
0.0,0.0,0.0,17600,12034,10771,11906,37860,4
0.0,0.0,0.0,17600,12021,10748,11906,37741,4
0.0,0.0,0.0,17634,12009,10771,11906,37860,4
0.0,0.0,0.0,17582,12021,10748,11868,37781,4
0.0,0.0,0.0,17600,12021,10771,11906,37820,4
0.0,0.0,0.0,17600,12009,10795,11906,37940,4
0.0,0.0,0.0,17600,12034,10771,11906,37820,4
0.0,0.0,0.0,17634,12047,10771,11868,37781,4
0.0,0.0,0.0,17600,12009,10783,11906,37781,4
0.0,0.0,0.0,17600,12021,10783,11906,37781,4
0.0,0.0,0.0,17565,12009,10771,11906,37701,4
0.0,0.0,0.0,17600,12060,10771,11906,37741,4
0.0,0.0,0.0,17617,12073,10771,11919,37701,4
