GyroX,GyroY,GyroZ,Thumb,Index,Middle,Ring,Pinky,Gesture
0.0,0.0,0.0,15868,11109,28414,32999,35272,2
0.0,0.0,0.0,15868,11121,28414,32932,35199,2
0.0,0.0,0.0,15868,11109,28385,32899,35272,2
0.0,0.0,0.0,15837,11109,28414,32899,35236,2
0.0,0.0,0.0,15868,11096,28442,32966,35163,2
0.0,0.0,0.0,15837,11109,28470,32966,35199,2
0.0,0.0,0.0,15837,11109,28385,32899,35163,2
0.0,0.0,0.0,15852,11109,28414,32932,35127,2
0.0,0.0,0.0,15852,11109,28442,32899,35127,2
0.0,0.0,0.0,15852,11109,28414,32899,35055,2
0.0,0.0,0.0,15852,11072,28414,32899,35163,2
0.0,0.0,0.0,15868,11109,28414,32899,35091,2
0.0,0.0,0.0,15852,11121,28385,32899,35055,2
0.0,0.0,0.0,15837,11109,28357,32966,35199,2
0.0,0.0,0.0,15852,11109,28385,32832,34982,2
0.0,0.0,0.0,15868,11109,28357,32832,35127,2
0.0,0.0,0.0,15821,11072,28385,32899,35055,2
0.0,0.0,0.0,15789,11096,28357,32899,34982,2
0.0,0.0,0.0,15837,11084,28329,32832,35055,2
0.0,0.0,0.0,15837,11096,28357,32832,35091,2
0.0,0.0,0.0,15837,11072,28414,32799,34982,2
0.0,0.0,0.0,15805,11084,28357,32799,34982,2
0.0,0.0,0.0,15837,11072,28357,32832,34982,2
0.0,0.0,0.0,15837,11084,28357,32832,34982,2
0.0,0.0,0.0,15805,11096,28357,32832,35091,2
0.0,0.0,0.0,15837,11072,28357,32799,34982,2
0.0,0.0,0.0,15837,11060,28357,32832,35018,2
0.0,0.0,0.0,15789,11060,28357,32832,35091,2
0.0,0.0,0.0,15837,11072,28357,32832,35055,2
0.0,0.0,0.0,15837,11109,28301,32832,35091,2
0.0,0.0,0.0,15805,11084,28357,32832,35018,2
0.0,0.0,0.0,15789,11084,28301,32832,34946,2
0.0,0.0,0.0,15789,11084,28357,32832,35018,2
0.0,0.0,0.0,15789,11072,28301,32832,34982,2
0.0,0.0,0.0,15789,11084,28301,32832,35018,2
0.0,0.0,0.0,15837,11084,28301,32765,34910,2
0.0,0.0,0.0,15837,11084,28301,32866,34982,2
0.0,0.0,0.0,15805,11109,28301,32765,35018,2
0.0,0.0,0.0,15789,11096,28301,32832,35018,2
0.0,0.0,0.0,15837,11060,28301,32866,34982,2
0.0,0.0,0.0,15837,11072,28301,32799,35018,2
0.0,0.0,0.0,15789,11084,28329,32899,34982,2
0.0,0.0,0.0,15789,11084,28301,32765,34910,2
0.0,0.0,0.0,15805,11096,28301,32832,35018,2
0.0,0.0,0.0,15789,11084,28301,32765,35055,2
0.0,0.0,0.0,15789,11084,28301,32832,34982,2
0.0,0.0,0.0,15837,11084,28301,32899,34874,2
0.0,0.0,0.0,15821,11084,28301,32765,34839,2
0.0,0.0,0.0,15773,11060,28301,32799,34910,2
0.0,0.0,0.0,15773,11084,28301,32832,34910,2
0.0,0.0,0.0,15773,11084,28301,32832,34910,2
0.0,0.0,0.0,15789,11109,28273,32732,34874,2
0.0,0.0,0.0,15789,11084,28245,32765,34982,2
0.0,0.0,0.0,15773,11072,28301,32799,34839,2
0.0,0.0,0.0,15789,11084,28301,32765,34946,2
0.0,0.0,0.0,15773,11084,28301,32799,34982,2
0.0,0.0,0.0,15773,11084,28301,32765,34982,2
0.0,0.0,0.0,15789,11084,28301,32799,35055,2
0.0,0.0,0.0,15773,11109,28301,32765,34910,2
0.0,0.0,0.0,15773,11084,28301,32832,35018,2
0.0,0.0,0.0,15789,11072,28301,32799,35018,2
0.0,0.0,0.0,15789,11072,28301,32765,34982,2
0.0,0.0,0.0,15773,11072,28301,32799,34910,2
0.0,0.0,0.0,15789,11084,28189,32699,34982,2
0.0,0.0,0.0,15789,11072,28273,32699,34874,2
0.0,0.0,0.0,15773,11084,28273,32699,34839,2
0.0,0.0,0.0,15773,11109,28301,32699,34910,2
0.0,0.0,0.0,15773,11072,28245,32666,34874,2
0.0,0.0,0.0,15789,11084,28245,32799,34946,2
0.0,0.0,0.0,15773,11060,28189,32666,34910,2
0.0,0.0,0.0,15789,11084,28245,32666,34839,2
0.0,0.0,0.0,15789,11084,28301,32832,34910,2
0.0,0.0,0.0,15773,11072,28189,32699,34982,2
0.0,0.0,0.0,15773,11084,28189,32666,34767,2
0.0,0.0,0.0,15789,11084,28245,32699,34910,2
0.0,0.0,0.0,15773,11084,28245,32765,34803,2
0.0,0.0,0.0,15773,11084,28245,32699,34839,2
0.0,0.0,0.0,15773,11084,28217,32699,34910,2
0.0,0.0,0.0,15773,11109,28245,32699,34839,2
0.0,0.0,0.0,15789,11084,28189,32699,34839,2
0.0,0.0,0.0,15789,11084,28245,32666,34839,2
0.0,0.0,0.0,15741,11084,28245,32699,34839,2
0.0,0.0,0.0,15741,11109,28245,32633,34839,2
0.0,0.0,0.0,15773,11072,28217,32633,34803,2
0.0,0.0,0.0,15757,11084,28189,32699,34839,2
0.0,0.0,0.0,15726,11084,28161,32699,34767,2
0.0,0.0,0.0,15789,11084,28161,32666,34839,2
0.0,0.0,0.0,15773,11072,28161,32633,34839,2
0.0,0.0,0.0,15789,11072,28161,32633,34767,2
0.0,0.0,0.0,15789,11109,28161,32699,34839,2
0.0,0.0,0.0,15789,11072,28217,32699,34731,2
0.0,0.0,0.0,15773,11072,28049,32633,34767,2
0.0,0.0,0.0,15773,11084,28161,32699,34731,2
0.0,0.0,0.0,15773,11072,28189,32765,34767,2
0.0,0.0,0.0,15757,11109,28133,32633,34696,2
0.0,0.0,0.0,15773,11084,28077,32699,34767,2
0.0,0.0,0.0,15741,11084,28133,32633,34660,2
0.0,0.0,0.0,15773,11084,28133,32633,34731,2
0.0,0.0,0.0,15741,11096,28133,32566,34731,2
0.0,0.0,0.0,15757,11072,28161,32666,34624,2
0.0,0.0,0.0,15773,11072,28133,32699,34839,2
0.0,0.0,0.0,15773,11060,28133,32500,34696,2
0.0,0.0,0.0,15773,11084,28133,32666,34624,2
0.0,0.0,0.0,15773,11084,28161,32633,34696,2
0.0,0.0,0.0,15741,11072,28077,32699,34660,2
0.0,0.0,0.0,15741,11084,28133,32666,34696,2
0.0,0.0,0.0,15773,11084,28133,32566,34589,2
0.0,0.0,0.0,15741,11060,28105,32633,34624,2
0.0,0.0,0.0,15741,11060,28133,32633,34553,2
0.0,0.0,0.0,15726,11060,28133,32633,34696,2
0.0,0.0,0.0,15773,11060,28133,32633,34696,2
0.0,0.0,0.0,15726,11060,28133,32633,34624,2
0.0,0.0,0.0,15741,11060,28133,32633,34696,2
0.0,0.0,0.0,15741,11060,28133,32599,34553,2
0.0,0.0,0.0,15741,11060,28133,32633,34589,2
0.0,0.0,0.0,15773,11060,28133,32633,34553,2
0.0,0.0,0.0,15773,11060,28133,32533,34696,2
0.0,0.0,0.0,15773,11072,28077,32633,34589,2
0.0,0.0,0.0,15852,11060,28133,32666,34696,2
0.0,0.0,0.0,15789,11060,28077,32633,34624,2
0.0,0.0,0.0,15789,11060,28133,32633,34624,2
0.0,0.0,0.0,15837,11060,28133,32633,34660,2
0.0,0.0,0.0,15837,11060,28133,32666,34696,2
0.0,0.0,0.0,15837,11060,28133,32633,34624,2
0.0,0.0,0.0,15837,11060,28189,32633,34624,2
0.0,0.0,0.0,15821,11060,28133,32666,34660,2
0.0,0.0,0.0,15789,11048,28077,32599,34589,2
0.0,0.0,0.0,15837,11072,28133,32633,34624,2
0.0,0.0,0.0,15789,11060,28022,32599,34553,2
0.0,0.0,0.0,15805,11072,28133,32599,34518,2
0.0,0.0,0.0,15837,11060,28077,32599,34553,2
0.0,0.0,0.0,15837,11060,28133,32633,34624,2
0.0,0.0,0.0,15789,11060,28022,32633,34553,2
0.0,0.0,0.0,15837,11060,28077,32666,34624,2
0.0,0.0,0.0,15805,11072,28133,32666,34553,2
0.0,0.0,0.0,15805,11060,28049,32599,34553,2
0.0,0.0,0.0,15837,11072,28022,32666,34731,2
0.0,0.0,0.0,15805,11060,28049,32633,34624,2
0.0,0.0,0.0,15789,11072,28022,32633,34696,2
0.0,0.0,0.0,15837,11060,28049,32566,34624,2
0.0,0.0,0.0,15789,11084,28049,32566,34696,2
0.0,0.0,0.0,15789,11036,28049,32699,34553,2
0.0,0.0,0.0,15789,11060,28022,32633,34589,2
0.0,0.0,0.0,15821,11060,27994,32633,34589,2
0.0,0.0,0.0,15805,11060,28022,32666,34624,2
0.0,0.0,0.0,15789,11036,28022,32666,34660,2
0.0,0.0,0.0,15773,11072,27966,32666,34589,2
0.0,0.0,0.0,15773,11060,27911,32500,34518,2
0.0,0.0,0.0,15789,11060,27966,32599,34553,2
0.0,0.0,0.0,15773,11072,27966,32500,34553,2
0.0,0.0,0.0,15741,11060,27966,32467,34589,2
0.0,0.0,0.0,15710,11060,27911,32500,34518,2
0.0,0.0,0.0,15757,11060,27966,32533,34447,2
0.0,0.0,0.0,15710,11060,27911,32500,34589,2
0.0,0.0,0.0,15741,11060,27911,32467,34589,2
0.0,0.0,0.0,15757,11060,27911,32533,34624,2
0.0,0.0,0.0,15726,11060,27856,32533,34624,2
0.0,0.0,0.0,15773,11072,27856,32500,34624,2
0.0,0.0,0.0,15710,11072,27856,32402,34553,2
0.0,0.0,0.0,15741,11072,27911,32566,34553,2
0.0,0.0,0.0,15710,11060,27911,32435,34553,2
0.0,0.0,0.0,15710,11109,27828,32435,34553,2
0.0,0.0,0.0,15726,11072,27911,32435,34553,2
0.0,0.0,0.0,15741,11084,27911,32500,34518,2
0.0,0.0,0.0,15741,11084,27883,32500,34518,2
0.0,0.0,0.0,15726,11096,27911,32435,34553,2
0.0,0.0,0.0,15710,11109,27856,32467,34482,2
0.0,0.0,0.0,15741,11109,27856,32500,34589,2
0.0,0.0,0.0,15757,11109,27828,32533,34553,2
0.0,0.0,0.0,15710,11109,27828,32402,34553,2
0.0,0.0,0.0,15678,11109,27828,32435,34482,2
0.0,0.0,0.0,15773,11096,27828,32500,34482,2
0.0,0.0,0.0,15710,11109,27856,32467,34553,2
0.0,0.0,0.0,15741,11109,27800,32435,34553,2
0.0,0.0,0.0,15741,11109,27828,32435,34553,2
0.0,0.0,0.0,15710,11109,27800,32500,34482,2
0.0,0.0,0.0,15726,11096,27828,32435,34553,2
0.0,0.0,0.0,15726,11109,27828,32402,34518,2
0.0,0.0,0.0,15726,11109,27800,32402,34518,2
0.0,0.0,0.0,15710,11084,27828,32435,34482,2
0.0,0.0,0.0,15741,11109,27800,32402,34553,2
0.0,0.0,0.0,15710,11109,27800,32402,34412,2
0.0,0.0,0.0,15710,11109,27800,32435,34482,2
0.0,0.0,0.0,15741,11109,27800,32402,34412,2
0.0,0.0,0.0,15710,11109,27800,32369,34518,2
0.0,0.0,0.0,15710,11109,27773,32402,34482,2
0.0,0.0,0.0,15726,11109,27745,32435,34553,2
0.0,0.0,0.0,15710,11121,27800,32369,34589,2
0.0,0.0,0.0,15710,11109,27800,32369,34412,2
0.0,0.0,0.0,15710,11084,27800,32435,34589,2
0.0,0.0,0.0,15741,11096,27856,32500,34553,2
0.0,0.0,0.0,15710,11109,27828,32435,34553,2
0.0,0.0,0.0,15710,11109,27800,32467,34553,2
0.0,0.0,0.0,15710,11109,27800,32369,34482,2
0.0,0.0,0.0,15710,11109,27773,32402,34553,2
0.0,0.0,0.0,15710,11084,27773,32402,34553,2
0.0,0.0,0.0,15726,11109,27800,32402,34447,2
0.0,0.0,0.0,15710,11109,27800,32369,34482,2
0.0,0.0,0.0,15710,11109,27828,32336,34412,2
0.0,0.0,0.0,15710,11109,27800,32369,34518,2
0.0,0.0,0.0,15710,11109,27773,32303,34412,2
0.0,0.0,0.0,15710,11109,27773,32369,34412,2
0.0,0.0,0.0,15694,11109,27800,32435,34412,2
0.0,0.0,0.0,15710,11109,27773,32369,34412,2
0.0,0.0,0.0,15710,11133,27800,32435,34482,2
0.0,0.0,0.0,15710,11109,27800,32402,34447,2
0.0,0.0,0.0,15663,11109,27773,32402,34447,2
0.0,0.0,0.0,15710,11109,27800,32402,34518,2
0.0,0.0,0.0,15678,11109,27773,32336,34482,2
0.0,0.0,0.0,15710,11121,27800,32369,34482,2
0.0,0.0,0.0,15678,11109,27800,32369,34341,2
0.0,0.0,0.0,15694,11133,27773,32369,34447,2
0.0,0.0,0.0,15710,11109,27800,32369,34412,2
0.0,0.0,0.0,15710,11121,27773,32303,34482,2
0.0,0.0,0.0,15678,11109,27800,32369,34341,2
0.0,0.0,0.0,15678,11133,27800,32271,34447,2
0.0,0.0,0.0,15710,11109,27718,32369,34553,2
0.0,0.0,0.0,15678,11121,27800,32271,34412,2
0.0,0.0,0.0,15694,11109,27800,32303,34518,2
0.0,0.0,0.0,15710,11121,27691,32336,34482,2
0.0,0.0,0.0,15726,11109,27745,32336,34447,2
0.0,0.0,0.0,15678,11109,27773,32303,34482,2
0.0,0.0,0.0,15663,11121,27745,32303,34412,2
0.0,0.0,0.0,15710,11133,27718,32271,34412,2
0.0,0.0,0.0,15710,11121,27745,32369,34482,2
0.0,0.0,0.0,15647,11109,27745,32336,34412,2
0.0,0.0,0.0,15647,11109,27745,32369,34412,2
0.0,0.0,0.0,15663,11109,27718,32303,34412,2
0.0,0.0,0.0,15694,11133,27691,32303,34482,2
0.0,0.0,0.0,15663,11121,27718,32303,34412,2
0.0,0.0,0.0,15663,11133,27691,32369,34412,2
0.0,0.0,0.0,15647,11121,27691,32303,34341,2
0.0,0.0,0.0,15663,11157,27691,32303,34482,2
0.0,0.0,0.0,15647,11157,27718,32238,34376,2
0.0,0.0,0.0,15647,11145,27691,32271,34376,2
0.0,0.0,0.0,15663,11145,27691,32238,34412,2
0.0,0.0,0.0,15663,11121,27718,32238,34482,2
0.0,0.0,0.0,15663,11157,27691,32238,34341,2
0.0,0.0,0.0,15678,11133,27718,32369,34341,2
0.0,0.0,0.0,15678,11133,27718,32238,34341,2
0.0,0.0,0.0,15647,11121,27691,32238,34341,2
0.0,0.0,0.0,15647,11157,27636,32271,34341,2
0.0,0.0,0.0,15663,11133,27691,32271,34341,2
0.0,0.0,0.0,15678,11133,27636,32303,34412,2
0.0,0.0,0.0,15678,11157,27691,32238,34341,2
0.0,0.0,0.0,15647,11157,27691,32238,34412,2
0.0,0.0,0.0,15663,11133,27691,32303,34341,2
0.0,0.0,0.0,15647,11157,27691,32238,34341,2
0.0,0.0,0.0,15663,11157,27691,32271,34376,2
0.0,0.0,0.0,15663,11157,27691,32238,34412,2
0.0,0.0,0.0,15647,11157,27691,32173,34376,2
0.0,0.0,0.0,15663,11157,27691,32271,34376,2
0.0,0.0,0.0,15663,11170,27691,32173,34341,2
0.0,0.0,0.0,15663,11157,27691,32238,34376,2
0.0,0.0,0.0,15647,11170,27691,32173,34341,2
0.0,0.0,0.0,15647,11182,27718,32271,34447,2
0.0,0.0,0.0,15647,11157,27691,32238,34341,2
0.0,0.0,0.0,15631,11157,27718,32238,34271,2
0.0,0.0,0.0,15663,11157,27691,32173,34376,2
0.0,0.0,0.0,15663,11157,27691,32238,34412,2
0.0,0.0,0.0,15647,11157,27691,32173,34376,2
0.0,0.0,0.0,15647,11170,27691,32271,34341,2
0.0,0.0,0.0,15663,11157,27691,32205,34376,2
0.0,0.0,0.0,15663,11157,27663,32140,34235,2
0.0,0.0,0.0,15647,11157,27636,32173,34341,2
0.0,0.0,0.0,15631,11157,27691,32205,34341,2
0.0,0.0,0.0,15647,11157,27636,32108,34235,2
0.0,0.0,0.0,15631,11157,27636,32173,34271,2
0.0,0.0,0.0,15647,11157,27636,32108,34235,2
0.0,0.0,0.0,15647,11109,27609,32108,34165,2
0.0,0.0,0.0,15647,11133,27581,32108,34235,2
0.0,0.0,0.0,15663,11121,27581,32140,34341,2
0.0,0.0,0.0,15647,11121,27581,32140,34341,2
0.0,0.0,0.0,15678,11109,27581,32075,34341,2
0.0,0.0,0.0,15678,11121,27609,32108,34306,2
0.0,0.0,0.0,15663,11121,27581,32075,34271,2
0.0,0.0,0.0,15647,11109,27581,32043,34306,2
0.0,0.0,0.0,15663,11109,27609,32075,34200,2
0.0,0.0,0.0,15678,11109,27581,32043,34130,2
0.0,0.0,0.0,15678,11109,27554,32010,34200,2
0.0,0.0,0.0,15647,11109,27527,32108,34235,2
0.0,0.0,0.0,15710,11109,27581,32010,34200,2
0.0,0.0,0.0,15726,11084,27581,31978,34200,2
0.0,0.0,0.0,15726,11109,27499,31978,34271,2
0.0,0.0,0.0,15710,11109,27554,31978,34200,2
0.0,0.0,0.0,15694,11133,27527,31881,34130,2
0.0,0.0,0.0,15710,11133,27527,31978,34200,2
0.0,0.0,0.0,15710,11109,27527,32010,34200,2
0.0,0.0,0.0,15710,11109,27527,31946,34271,2
0.0,0.0,0.0,15647,11121,27472,31978,34271,2
0.0,0.0,0.0,15663,11109,27499,31913,34235,2
0.0,0.0,0.0,15663,11133,27499,31946,34306,2
0.0,0.0,0.0,15710,11109,27499,31849,34341,2
0.0,0.0,0.0,15647,11109,27445,31881,34200,2
0.0,0.0,0.0,15710,11109,27445,31881,34200,2
0.0,0.0,0.0,15647,11121,27472,31913,34130,2
0.0,0.0,0.0,15663,11109,27445,31913,34130,2
0.0,0.0,0.0,15647,11084,27391,31881,34271,2
0.0,0.0,0.0,15647,11109,27445,31881,34271,2
0.0,0.0,0.0,15647,11121,27445,31849,34200,2
0.0,0.0,0.0,15663,11084,27472,31978,34200,2
0.0,0.0,0.0,15647,11109,27391,31913,34200,2
0.0,0.0,0.0,15726,11109,27472,31913,34271,2
0.0,0.0,0.0,15694,11109,27472,31849,34271,2
0.0,0.0,0.0,15710,11109,27472,31849,34271,2
0.0,0.0,0.0,15710,11121,27472,31978,34271,2
0.0,0.0,0.0,15710,11109,27445,31913,34200,2
0.0,0.0,0.0,15726,11133,27418,31849,34130,2
0.0,0.0,0.0,15773,11109,27472,31913,34200,2
0.0,0.0,0.0,15789,11109,27391,31946,34130,2
0.0,0.0,0.0,15837,11109,27472,31849,34271,2
0.0,0.0,0.0,15837,11109,27472,31849,34200,2
0.0,0.0,0.0,15837,11109,27472,31978,34271,2
0.0,0.0,0.0,15852,11121,27472,31881,34200,2
0.0,0.0,0.0,15837,11121,27418,31849,34130,2
0.0,0.0,0.0,15837,11157,27445,31849,34271,2
0.0,0.0,0.0,15837,11133,27445,31785,34200,2
0.0,0.0,0.0,15789,11121,27472,31849,34130,2
0.0,0.0,0.0,15789,11109,27445,31785,34271,2
0.0,0.0,0.0,15789,11109,27391,31849,34200,2
0.0,0.0,0.0,15789,11121,27472,31817,34200,2
0.0,0.0,0.0,15789,11133,27418,31817,34130,2
0.0,0.0,0.0,15789,11133,27391,31752,34060,2
0.0,0.0,0.0,15773,11121,27418,31785,34130,2
0.0,0.0,0.0,15805,11157,27418,31849,34095,2
0.0,0.0,0.0,15773,11133,27418,31752,34060,2
0.0,0.0,0.0,15789,11133,27418,31752,34130,2
0.0,0.0,0.0,15773,11121,27418,31785,34026,2
0.0,0.0,0.0,15773,11121,27364,31720,34060,2
0.0,0.0,0.0,15773,11121,27418,31720,34060,2
0.0,0.0,0.0,15773,11121,27364,31720,34130,2
0.0,0.0,0.0,15710,11109,27364,31720,34060,2
0.0,0.0,0.0,15805,11109,27364,31720,34060,2
0.0,0.0,0.0,15726,11133,27391,31720,34095,2
0.0,0.0,0.0,15757,11109,27364,31720,34095,2
0.0,0.0,0.0,15757,11121,27391,31688,34026,2
0.0,0.0,0.0,15773,11109,27364,31720,34026,2
0.0,0.0,0.0,15710,11109,27364,31720,34026,2
0.0,0.0,0.0,15757,11133,27364,31688,34060,2
0.0,0.0,0.0,15773,11133,27391,31656,34130,2
0.0,0.0,0.0,15726,11121,27310,31656,34026,2
0.0,0.0,0.0,15741,11133,27283,31656,34026,2
0.0,0.0,0.0,15741,11109,27364,31720,34060,2
0.0,0.0,0.0,15773,11121,27364,31752,34060,2
0.0,0.0,0.0,15741,11109,27391,31656,34060,2
0.0,0.0,0.0,15710,11121,27418,31720,34060,2
0.0,0.0,0.0,15710,11121,27337,31656,33991,2
0.0,0.0,0.0,15710,11133,27310,31720,34095,2
0.0,0.0,0.0,15726,11121,27310,31624,33991,2
0.0,0.0,0.0,15726,11133,27337,31720,34026,2
0.0,0.0,0.0,15710,11121,27364,31720,34026,2
0.0,0.0,0.0,15710,11157,27310,31656,34026,2
0.0,0.0,0.0,15710,11121,27364,31656,34026,2
0.0,0.0,0.0,15694,11109,27310,31656,34026,2
0.0,0.0,0.0,15678,11133,27283,31624,34026,2
0.0,0.0,0.0,15663,11121,27310,31688,34060,2
0.0,0.0,0.0,15663,11133,27283,31656,34130,2
0.0,0.0,0.0,15710,11133,27310,31688,34026,2
0.0,0.0,0.0,15710,11121,27256,31656,34095,2
0.0,0.0,0.0,15678,11109,27283,31720,34060,2
0.0,0.0,0.0,15710,11109,27283,31720,33991,2
0.0,0.0,0.0,15663,11109,27256,31656,34060,2
0.0,0.0,0.0,15678,11133,27256,31720,34026,2
0.0,0.0,0.0,15663,11133,27283,31656,34060,2
0.0,0.0,0.0,15663,11121,27310,31656,34060,2
0.0,0.0,0.0,15663,11109,27256,31624,34060,2
0.0,0.0,0.0,15694,11109,27256,31656,33991,2
0.0,0.0,0.0,15663,11121,27256,31688,33887,2
0.0,0.0,0.0,15647,11121,27256,31688,33991,2
0.0,0.0,0.0,15678,11133,27256,31720,34026,2
0.0,0.0,0.0,15647,11109,27256,31656,33921,2
0.0,0.0,0.0,15663,11133,27256,31720,34026,2
0.0,0.0,0.0,15678,11133,27256,31688,34060,2
0.0,0.0,0.0,15647,11157,27283,31720,33991,2
0.0,0.0,0.0,15663,11121,27256,31720,33991,2
0.0,0.0,0.0,15647,11121,27256,31656,33991,2
0.0,0.0,0.0,15663,11133,27256,31720,33921,2
0.0,0.0,0.0,15647,11133,27256,31656,33956,2
0.0,0.0,0.0,15647,11133,27229,31624,33921,2
0.0,0.0,0.0,15663,11133,27256,31720,33991,2
0.0,0.0,0.0,15663,11121,27256,31720,33991,2
0.0,0.0,0.0,15647,11133,27202,31688,34026,2
0.0,0.0,0.0,15631,11133,27175,31593,34026,2
0.0,0.0,0.0,15647,11145,27202,31624,33991,2
0.0,0.0,0.0,15647,11109,27256,31688,33956,2
0.0,0.0,0.0,15647,11133,27175,31656,33991,2
0.0,0.0,0.0,15647,11133,27256,31624,33921,2
0.0,0.0,0.0,15647,11121,27175,31593,33991,2
0.0,0.0,0.0,15615,11121,27202,31593,33991,2
0.0,0.0,0.0,15647,11133,27175,31624,33956,2
